2011-3	153	40	
2012-1	53	8	
2012-2	31	8	
2012-3	59	8	
2013-1	41	8	
2013-2	46	8	
2013-3	55	8	
2014-1	38	8	
2014-2	42	8	
2014-3	53	8	
2015-1	53	16	
2015-2	78	16	
2015-3	120	16	
2016-1	72	16	
